approach_name,dataset_name,sensitive_name,classifier_name,samples,tot_inputs,disc_inputs,disc_rate,elapsed_time,egs
SG,bank,age,dt,1,1947,1420,72.9,300.08,4.73
SG,bank,age,lr,3.9,2724,440,16.17,300.06,1.47
SG,bank,age,mlp,1,2251,1105,49.09,300.07,3.68
SG,bank,age,rf,1,2059,1484,72.1,300.05,4.95
SG,bank,age,svm,0,222,0,0,300.66,0
SG,bank,marital,dt,1,2082,968,46.46,300.08,3.23
SG,bank,marital,lr,7,2750,413,15.03,300.05,1.38
SG,bank,marital,mlp,1.1,1799,412,22.97,300.04,1.37
SG,bank,marital,rf,1.1,2176,1297,59.69,300.06,4.32
SG,bank,marital,svm,0,223,0,0,300.83,0
SG,census,age,dt,1,1473,1050,71.43,300.05,3.5
SG,census,age,lr,1,3211,1680,52.33,300.04,5.6
SG,census,age,mlp,1,2908,2334,80.29,300.04,7.78
SG,census,age,rf,1.1,2538,1401,55.29,300.05,4.67
SG,census,age,svm,1,159,29,18.22,300.9,0.1
SG,census,race,dt,1,2548,737,28.97,300.07,2.46
SG,census,race,lr,3.7,3096,442,14.26,300.05,1.47
SG,census,race,mlp,3.1,2782,574,19.8,300.04,1.91
SG,census,race,rf,1,2171,619,28.63,300.04,2.06
SG,census,race,svm,0,162,0,0,300.76,0
SG,census,sex,dt,1,2400,634,26.45,300.05,2.11
SG,census,sex,lr,4.8,3042,367,12.06,300.04,1.22
SG,census,sex,mlp,1.3,3066,1287,42.15,300.04,4.29
SG,census,sex,rf,1,2676,1091,40.77,300.05,3.64
SG,census,sex,svm,0,162,0,0,300.55,0
SG,compas,age,dt,1,2336,1390,59.45,300.04,4.63
SG,compas,age,lr,1,1310,513,39.35,300.04,1.71
SG,compas,age,mlp,1,1366,544,39.75,300.06,1.81
SG,compas,age,rf,1,1400,705,50.46,300.02,2.35
SG,compas,age,svm,1,198,129,65.98,300.28,0.43
SG,compas,race,dt,1,1932,1347,69.7,300.04,4.49
SG,compas,race,lr,4.2,1286,394,30.64,300.04,1.31
SG,compas,race,mlp,1.8,915,349,38.29,300.04,1.16
SG,compas,race,rf,1,1548,858,55.82,300.05,2.86
SG,compas,race,svm,1,275,140,51.09,300.26,0.47
SG,compas,sex,dt,1.4,2511,1006,40.12,300.06,3.35
SG,compas,sex,lr,1.3,1923,347,18.12,300.03,1.16
SG,compas,sex,mlp,1.2,1296,369,28.73,300.03,1.23
SG,compas,sex,rf,1,1387,640,46.19,300.06,2.13
SG,compas,sex,svm,3.7,245,22,8.54,300.35,0.07
SG,credit,age,dt,1,3441,974,28.5,300.07,3.25
SG,credit,age,lr,1,4599,1819,39.56,300.04,6.06
SG,credit,age,mlp,1,3438,2560,74.48,300.05,8.53
SG,credit,age,rf,1.1,2863,1648,57.74,300.04,5.49
SG,credit,age,svm,1,2676,823,30.75,300.05,2.74
SG,credit,sex,dt,1,4062,1835,45.18,300.05,6.12
SG,credit,sex,lr,1.3,3596,464,12.92,300.05,1.55
SG,credit,sex,mlp,1.4,4542,947,20.8,300.06,3.16
SG,credit,sex,rf,1,3518,1526,43.35,300.05,5.08
SG,credit,sex,svm,8,2322,10,0.43,300.05,0.03
SG,meps,SEX,dt,1,1930,1346,69.88,300.08,4.48
SG,meps,SEX,lr,1.2,2412,470,19.48,300.08,1.57
SG,meps,SEX,mlp,1,2306,1147,49.74,300.07,3.82
SG,meps,SEX,rf,1,2208,1392,63.06,300.07,4.64
SG,meps,SEX,svm,0,304,0,0,300.55,0
,,,,1.521818182,2086.763636,827.2363636,37.14836364,300.1365455,2.756727273
